Journeyid,custid,productid,Visitdate,Stage,Action,Duration
1174,26,16,18-02-2025,Checkout,Drop-off,NULL
1175,91,7,08-07-2025,Checkout,Drop-off,NULL
1176,28,4,07-06-2024,Checkout,Drop-off,NULL
1177,14,19,10-12-2024,Checkout,Drop-off,NULL
1178,87,2,09-07-2025,ProductPage,View,219
1179,15,12,15-01-2024,ProductPage,View,249
1180,60,6,29-12-2025,ProductPage,View,22
1181,10,15,26-04-2023,Homepage,View,59
1182,13,10,14-07-2024,Homepage,View,159
1183,69,18,23-07-2023,ProductPage,View,200
1184,95,4,16-05-2025,Homepage,View,19
1185,77,2,04-02-2023,Homepage,Click,193
1186,7,14,08-08-2023,ProductPage,Click,272
1187,49,18,03-06-2025,ProductPage,Click,151
1188,77,6,11-11-2024,Homepage,View,156
1189,22,18,20-07-2023,ProductPage,View,139
1190,23,9,27-02-2023,homepage,Click,49
1191,62,13,02-05-2023,ProductPage,Click,209
1192,14,10,10-12-2024,Homepage,View,106
1193,28,3,16-03-2023,ProductPage,View,291
1194,34,1,07-11-2024,Checkout,Drop-off,NULL
1195,78,4,10-08-2024,ProductPage,View,201
1196,29,12,22-08-2023,Checkout,Drop-off,NULL
1197,89,17,24-09-2024,Homepage,View,64
1198,46,12,09-12-2023,Homepage,View,202
1199,6,16,16-07-2025,ProductPage,View,287
1200,47,18,02-12-2024,Homepage,View,260
1201,27,7,19-05-2025,Checkout,Drop-off,NULL
1202,34,13,05-07-2025,Checkout,Drop-off,NULL
1203,47,17,04-11-2024,Homepage,View,173
1204,33,10,21-06-2025,Homepage,View,170
1205,100,20,12-07-2024,Checkout,Drop-off,NULL
1206,41,20,03-04-2023,Homepage,Click,282
1207,68,2,03-04-2024,ProductPage,Click,299
1208,7,18,22-03-2025,ProductPage,Click,124
1209,63,14,19-12-2025,Homepage,Click,235
1210,35,20,31-10-2023,ProductPage,Click,136
1211,78,7,22-04-2024,Checkout,Purchase,25
1212,55,13,11-09-2025,ProductPage,View,142
1213,34,4,03-04-2025,ProductPage,View,47
1214,82,6,06-10-2025,ProductPage,View,173
1215,98,12,19-04-2024,Homepage,Click,139
1216,61,6,14-09-2025,Homepage,View,131
1217,6,10,29-04-2023,Homepage,View,66
1218,54,8,22-10-2023,ProductPage,View,55
1219,81,12,13-10-2023,ProductPage,View,272
1220,36,18,25-10-2025,Checkout,Drop-off,NULL
1221,5,9,25-12-2023,Homepage,Click,31
1222,9,1,27-03-2023,homepage,Click,238
1223,32,14,17-09-2025,Checkout,Purchase,187
1224,36,8,08-09-2025,Checkout,Drop-off,NULL
1225,57,11,09-12-2023,Checkout,Drop-off,NULL
1226,89,8,17-02-2025,Checkout,Drop-off,NULL
1227,94,7,05-10-2024,Homepage,View,77
1228,15,1,23-12-2024,checkout,Drop-off,NULL
1229,31,11,05-08-2025,ProductPage,View,115
1230,58,1,19-06-2023,Homepage,View,211
1231,10,8,21-06-2024,Homepage,View,240
1232,100,13,04-11-2025,Homepage,View,242
1233,52,18,16-08-2024,Homepage,View,199
1234,84,7,17-05-2023,ProductPage,View,130
1235,13,18,25-07-2025,ProductPage,View,154
1236,59,18,10-12-2025,Checkout,Drop-off,NULL
1237,68,11,04-04-2025,ProductPage,View,139
1238,34,6,21-08-2025,Homepage,View,251
1239,44,10,12-12-2025,ProductPage,View,231
1240,44,1,03-10-2024,Homepage,Click,214
1241,57,1,04-03-2023,ProductPage,Click,257
1242,83,8,06-07-2023,Checkout,Purchase,74
1243,45,19,05-05-2023,Homepage,Click,247
1244,92,16,15-08-2025,ProductPage,Click,92
1245,32,20,21-01-2023,Checkout,Purchase,20
1246,31,4,03-10-2025,ProductPage,View,146
1247,98,15,25-06-2024,Homepage,View,289
1248,17,8,13-12-2023,Homepage,Click,153
1249,17,1,12-07-2025,ProductPage,Drop-off,NULL
1250,65,12,25-04-2024,ProductPage,View,145
1251,15,18,24-04-2024,Homepage,View,189
1252,56,17,05-03-2024,ProductPage,View,104
1253,78,17,10-08-2023,Homepage,Click,201
1254,22,1,05-09-2023,ProductPage,Click,244
1255,27,12,01-04-2023,ProductPage,Click,166
1256,83,18,27-01-2024,Homepage,Click,120
1257,87,3,06-02-2025,Checkout,Purchase,73
1258,100,20,26-04-2024,ProductPage,View,33
1259,18,7,24-09-2025,ProductPage,View,270
1260,62,6,30-12-2024,Homepage,View,70
1261,86,11,26-12-2025,ProductPage,View,244
1262,69,4,10-10-2024,Checkout,Drop-off,NULL
1263,37,2,01-03-2023,ProductPage,View,84
1264,84,1,09-02-2024,Homepage,Click,191
1265,79,12,19-09-2023,Homepage,View,147
1266,90,10,11-11-2023,ProductPage,View,55
1267,23,9,01-01-2023,ProductPage,View,145
1268,65,6,09-12-2023,ProductPage,View,98
1269,13,7,14-02-2023,Homepage,Click,146
1270,16,3,22-04-2025,ProductPage,Click,282
1271,87,19,25-09-2024,Homepage,Click,193
1272,15,9,06-10-2023,ProductPage,Click,69
1273,65,16,19-01-2023,Homepage,Click,274
1274,76,19,30-01-2025,Homepage,View,130
1275,97,6,28-12-2023,Homepage,View,37
1276,45,19,16-06-2024,ProductPage,View,173
1277,95,13,02-07-2025,Checkout,Drop-off,NULL
1278,31,8,16-10-2025,Homepage,View,238
1279,32,8,29-08-2024,productpage,View,207
1280,57,7,11-09-2025,Homepage,View,130
1281,59,12,24-06-2024,Homepage,View,157
1282,89,12,29-01-2023,ProductPage,View,192
1283,6,14,10-07-2025,Checkout,Drop-off,NULL
1284,34,14,22-12-2023,ProductPage,View,190
1285,96,14,15-04-2023,ProductPage,View,220
1286,64,12,07-10-2024,Homepage,View,199
1287,94,14,08-04-2023,Checkout,Drop-off,NULL
1288,33,12,20-03-2024,ProductPage,View,239
1289,56,19,20-12-2023,ProductPage,View,189
1290,38,14,27-09-2024,ProductPage,View,123
1291,2,3,09-07-2025,ProductPage,View,88
1292,42,18,08-10-2025,Homepage,Click,21
1293,89,18,04-05-2023,Homepage,View,151
1294,13,12,17-11-2025,homepage,View,59
1295,56,12,09-09-2024,Homepage,View,64
1296,90,11,20-02-2025,ProductPage,View,135
1297,63,5,01-10-2025,Homepage,Click,134
1298,89,2,30-07-2024,Homepage,Click,205
1299,74,9,04-06-2023,Homepage,Click,240
1300,43,1,19-01-2024,Homepage,View,223
1301,17,4,01-10-2025,ProductPage,View,81
1302,63,20,12-07-2024,Homepage,View,61
1303,11,14,04-10-2023,ProductPage,View,77
1304,43,4,11-06-2024,Checkout,Drop-off,NULL
1305,82,18,02-04-2024,ProductPage,View,119
1306,50,8,18-08-2023,Homepage,Click,136
1307,54,9,10-07-2023,ProductPage,Click,233
1308,65,14,20-04-2025,Checkout,Purchase,214
1309,99,6,17-10-2025,Homepage,View,200
1310,94,16,29-12-2025,Homepage,Click,35
1311,42,13,29-05-2025,ProductPage,Click,290
1312,89,18,28-06-2024,Checkout,Drop-off,NULL
1313,8,5,07-02-2023,ProductPage,View,79
1314,40,18,01-06-2023,homepage,Click,211
1315,4,14,30-03-2025,ProductPage,Click,215
1316,60,7,19-03-2024,Homepage,Click,56
1317,90,17,19-01-2024,ProductPage,Click,108
1318,24,18,09-10-2025,Homepage,View,59
1319,84,17,12-10-2025,Homepage,View,112
1320,95,2,03-10-2025,ProductPage,View,27
1321,90,9,25-08-2023,ProductPage,View,279
1322,29,8,24-05-2025,Checkout,Drop-off,NULL
1323,21,5,03-07-2023,Checkout,Drop-off,NULL
1324,90,18,04-05-2025,productpage,View,140
1325,53,6,19-08-2024,Homepage,View,236
1326,92,5,25-12-2025,Checkout,Drop-off,NULL
1327,69,8,30-12-2024,Homepage,View,145
1328,42,18,14-02-2025,Homepage,View,273
1329,38,13,14-07-2023,Homepage,Click,46
1330,39,17,06-10-2023,Homepage,View,69
1331,43,2,30-08-2023,Homepage,View,266
1332,40,8,17-04-2023,Checkout,Drop-off,NULL
1333,18,9,05-05-2023,ProductPage,View,247
1334,93,12,23-06-2024,Homepage,View,225
1335,90,6,21-07-2023,Homepage,View,56
1336,56,17,19-04-2024,Homepage,View,109
1337,41,5,12-05-2023,ProductPage,View,109
1338,68,2,16-01-2023,Homepage,View,161
1339,99,6,29-06-2025,Homepage,Click,10
1340,64,9,19-08-2023,Homepage,Click,49
1341,31,2,28-07-2025,ProductPage,Click,39
1342,60,16,09-09-2023,Homepage,View,201
1343,97,15,18-02-2023,homepage,Click,147
1344,4,12,16-09-2025,ProductPage,Click,254
1345,18,10,24-06-2024,Homepage,View,98
1346,4,11,09-02-2023,Homepage,Click,111
1347,77,16,27-09-2023,Homepage,View,109
1348,3,20,19-07-2023,Checkout,Drop-off,NULL
1349,57,10,29-08-2023,Homepage,View,255
1350,38,16,12-05-2024,ProductPage,View,136
1351,82,2,26-12-2023,ProductPage,View,203
1352,75,13,29-01-2023,ProductPage,View,55
1353,32,11,27-12-2023,Homepage,View,183
1354,50,1,28-10-2024,ProductPage,View,222
1355,6,14,04-07-2025,Homepage,View,43
1356,35,5,30-12-2023,Homepage,View,50
1357,49,19,20-08-2023,Homepage,View,201
1358,88,15,13-10-2025,ProductPage,View,285
1359,62,15,14-03-2023,Homepage,Click,217
1360,81,19,17-06-2025,Homepage,View,213
1361,94,13,17-06-2024,Homepage,Click,257
1362,79,6,16-08-2024,Homepage,Click,186
1363,16,5,14-11-2023,Homepage,View,296
1364,93,11,15-07-2025,ProductPage,View,53
1365,86,4,30-12-2024,ProductPage,View,123
1366,33,18,08-04-2025,ProductPage,View,220
1367,63,17,12-01-2024,ProductPage,View,39
1368,26,10,09-11-2024,ProductPage,View,33
1369,92,2,23-04-2024,ProductPage,View,271
1370,57,10,23-08-2024,ProductPage,View,201
1371,31,17,16-03-2024,Homepage,View,256
1372,63,7,17-08-2023,Homepage,View,46
1373,65,4,16-01-2024,ProductPage,View,32
1374,94,12,30-07-2023,ProductPage,View,182
1375,66,6,02-09-2023,Checkout,Drop-off,NULL
1376,56,1,22-12-2023,Homepage,View,173
1377,30,16,14-05-2023,Homepage,View,134
1378,17,18,08-01-2023,Checkout,Drop-off,NULL
1379,18,15,13-12-2025,Homepage,View,195
1380,82,6,13-02-2025,Homepage,View,38
1381,37,20,01-10-2024,Homepage,View,105
1382,82,4,19-01-2025,Checkout,Drop-off,NULL
1383,54,18,16-05-2023,ProductPage,View,164
1384,35,12,22-01-2025,Homepage,View,154
1385,20,15,17-07-2024,ProductPage,View,82
1386,89,6,11-12-2025,Homepage,View,215
1387,95,11,31-10-2023,Homepage,View,62
1388,74,2,10-02-2023,ProductPage,View,233
1389,35,7,27-02-2023,Homepage,View,207
1390,84,18,04-03-2024,Homepage,View,119
1391,44,12,25-04-2023,ProductPage,View,287
1392,93,8,20-08-2024,Checkout,Drop-off,NULL
1393,40,11,04-02-2025,ProductPage,View,137
1394,66,16,19-05-2024,ProductPage,View,116
1395,43,11,02-08-2025,productpage,View,10
1396,48,7,12-08-2024,ProductPage,View,267
1397,48,11,26-06-2024,Homepage,View,197
1398,55,11,29-06-2023,Homepage,Click,157
1399,86,9,01-05-2024,ProductPage,Click,219
1400,54,13,22-10-2025,Homepage,Click,245
1401,30,13,02-09-2023,Homepage,Click,49
1402,13,19,02-07-2024,ProductPage,Click,247
1403,87,2,13-02-2024,Homepage,View,254
1404,29,4,22-07-2024,Homepage,View,59
1405,55,11,18-12-2024,ProductPage,View,292
1406,67,3,10-12-2024,homepage,View,60
1407,15,1,23-03-2024,ProductPage,View,102
1408,14,16,29-10-2024,Homepage,Click,288
1409,52,10,29-05-2024,Homepage,View,255
1410,22,7,26-01-2024,Checkout,Drop-off,NULL
1411,51,6,19-02-2023,ProductPage,View,25
1412,61,9,10-10-2023,ProductPage,View,30
1413,7,7,28-02-2023,Homepage,View,173
1414,87,6,29-06-2024,Checkout,Drop-off,NULL
1415,92,16,17-09-2024,Homepage,Click,94
1416,97,18,09-07-2023,Homepage,Click,153
1417,18,16,10-04-2023,ProductPage,Click,102
1418,22,4,07-11-2023,Checkout,Purchase,281
1419,82,1,28-04-2023,Homepage,Click,140
1420,89,13,06-01-2023,Checkout,Purchase,245
1421,38,11,23-07-2024,Checkout,Drop-off,NULL
1422,63,7,28-12-2023,ProductPage,View,216
1423,65,16,02-01-2023,Homepage,Click,95
1424,32,6,03-11-2023,Checkout,Purchase,192
1425,18,11,03-05-2023,ProductPage,View,89
1426,35,12,27-05-2025,Homepage,View,192
1427,52,10,29-06-2024,ProductPage,View,282
1428,46,12,01-10-2025,ProductPage,View,230
1429,93,5,27-07-2024,Homepage,View,227
1430,88,5,27-05-2025,ProductPage,View,192
1431,20,8,16-09-2023,Checkout,Drop-off,NULL
1432,21,17,22-05-2023,Homepage,View,161
1433,78,4,06-01-2024,ProductPage,View,128
1434,63,16,06-06-2024,Checkout,Drop-off,NULL
1435,57,5,09-03-2024,ProductPage,View,229
1436,52,8,07-08-2023,Homepage,Click,282
1437,35,5,27-03-2025,ProductPage,Click,62
1438,41,10,23-07-2023,Checkout,Purchase,89
1439,53,20,24-03-2023,ProductPage,View,285
1440,68,18,15-11-2025,ProductPage,View,45
1441,91,9,23-03-2023,ProductPage,View,267
1442,73,12,15-07-2023,Checkout,Drop-off,NULL
1443,97,12,19-04-2023,ProductPage,View,162
1444,82,1,06-10-2023,ProductPage,View,49
1445,33,3,19-09-2024,Homepage,View,198
1446,65,2,13-05-2025,Homepage,View,141
1447,79,15,26-05-2024,Homepage,View,201
1448,12,5,27-03-2024,ProductPage,View,87
1449,77,11,02-07-2025,ProductPage,View,178
1450,49,19,14-03-2025,Homepage,View,12
1451,1,9,25-01-2025,Checkout,Drop-off,NULL
1452,40,2,05-09-2025,Homepage,View,11
1453,74,15,28-05-2024,Homepage,View,182
1454,5,4,08-06-2024,Homepage,View,71
1455,85,14,22-10-2024,ProductPage,View,29
1456,80,16,16-10-2024,Homepage,View,257
1457,64,13,21-12-2025,Checkout,Drop-off,NULL
1458,56,3,06-10-2024,ProductPage,View,79
1459,69,6,15-11-2024,Checkout,Drop-off,NULL
1460,65,14,18-03-2023,Checkout,Drop-off,NULL
1461,91,9,10-02-2025,Homepage,View,149
1462,25,17,28-05-2025,productpage,View,12
1463,100,16,08-11-2023,ProductPage,View,255
1464,26,18,23-08-2023,Homepage,View,26
1465,11,14,16-12-2025,Checkout,Drop-off,NULL
1466,88,11,06-11-2025,ProductPage,View,245
1467,32,17,06-10-2023,Homepage,Click,262
1468,70,4,29-04-2024,ProductPage,Drop-off,NULL
1469,12,12,12-11-2023,ProductPage,View,188
1470,26,4,12-05-2023,ProductPage,View,220
1471,87,20,08-04-2023,ProductPage,View,274
1472,5,7,13-08-2023,Homepage,View,35
1473,33,13,14-02-2024,Checkout,Drop-off,NULL
1474,98,4,21-07-2023,ProductPage,View,143
1475,20,13,23-11-2025,Homepage,View,65
1476,30,5,18-12-2025,Checkout,Drop-off,NULL
1477,38,20,17-04-2024,ProductPage,View,297
1478,60,6,01-11-2025,Homepage,Click,208
1479,51,20,17-06-2023,Homepage,View,10
1480,74,2,08-05-2025,Homepage,View,50
1481,57,11,13-10-2023,checkout,Drop-off,NULL
1482,84,11,15-02-2023,Homepage,Click,122
1483,59,7,01-06-2025,Homepage,Click,190
1484,71,6,05-03-2025,Homepage,View,144
1485,30,7,16-03-2025,ProductPage,View,296
1486,13,16,23-09-2023,Homepage,View,285
1487,34,9,02-03-2024,Homepage,View,118
1488,29,20,22-08-2023,ProductPage,View,174
1489,67,14,24-03-2023,ProductPage,View,36
1490,85,8,23-05-2023,Homepage,View,279
1491,92,13,16-07-2025,Homepage,Click,140
1492,20,17,25-04-2024,Homepage,Click,284
1493,23,7,07-03-2023,Homepage,View,186
1494,33,14,10-04-2025,Homepage,Click,279
1495,53,4,05-08-2024,ProductPage,Click,139
1496,32,9,21-10-2025,Homepage,View,294
1497,32,8,18-03-2023,ProductPage,View,119
1498,76,8,20-06-2024,ProductPage,View,201
1499,24,14,07-12-2023,ProductPage,View,217
1500,35,19,30-05-2025,Checkout,Drop-off,NULL
1501,9,20,21-11-2023,ProductPage,View,101
1502,55,10,28-09-2024,ProductPage,View,22
1503,96,15,29-09-2025,Homepage,Click,73
1504,73,13,08-01-2024,ProductPage,Click,235
1505,44,17,25-04-2024,ProductPage,Click,147
1506,57,3,06-12-2023,Checkout,Purchase,201
1507,38,1,06-06-2025,ProductPage,View,266
1508,66,2,29-04-2024,Homepage,View,66
1509,22,19,03-11-2023,Homepage,Click,294
1510,4,9,07-12-2024,Homepage,View,276
1511,39,16,26-05-2025,Homepage,View,275
1512,59,18,29-08-2023,Checkout,Drop-off,NULL
1513,89,16,23-08-2025,ProductPage,View,253
1514,59,7,04-02-2024,Homepage,View,255
1515,79,7,21-07-2025,Homepage,View,214
1516,53,20,28-10-2025,homepage,View,92
1517,69,1,17-05-2025,Homepage,View,75
1518,94,16,16-04-2023,Homepage,View,223
1519,68,20,22-09-2025,Checkout,Drop-off,NULL
1520,96,3,23-06-2024,Checkout,Drop-off,NULL
1521,19,5,23-07-2024,ProductPage,View,137
1522,40,19,07-02-2024,Checkout,Drop-off,NULL
1523,57,14,03-12-2024,ProductPage,View,36
1524,86,16,29-08-2025,ProductPage,View,39
1525,54,8,05-09-2025,Homepage,Click,61
1526,65,20,14-09-2023,ProductPage,Click,87
1527,2,7,24-10-2024,Homepage,View,22
1528,26,7,12-06-2025,ProductPage,View,104
1529,34,1,03-02-2024,ProductPage,View,115
1530,67,10,05-02-2024,Homepage,View,119
1531,76,12,29-08-2025,ProductPage,View,144
1532,47,13,18-09-2023,Checkout,Drop-off,NULL
1533,71,20,05-05-2025,Homepage,View,154
1534,11,17,02-01-2025,Homepage,View,208
1535,64,9,04-03-2025,Homepage,View,285
1536,65,3,03-07-2025,Homepage,View,49
1537,57,10,12-05-2024,Checkout,Drop-off,NULL
1538,68,10,19-02-2025,Homepage,View,110
1539,92,1,23-11-2024,Homepage,View,239
1540,61,16,25-08-2023,ProductPage,View,128
1541,88,10,13-02-2024,Homepage,View,148
1542,78,5,20-08-2023,ProductPage,View,161
1543,43,1,31-03-2025,Checkout,Drop-off,NULL
1544,90,10,01-11-2024,Homepage,Click,87
1545,50,6,31-01-2023,ProductPage,Click,285
1546,68,10,12-08-2023,ProductPage,Drop-off,NULL
1547,90,7,26-03-2025,Homepage,Click,77
1548,1,3,06-11-2024,Homepage,View,238
1549,99,11,27-12-2023,Checkout,Drop-off,NULL
1550,95,5,24-06-2023,ProductPage,View,286
1551,12,14,26-06-2023,Checkout,Drop-off,NULL
1552,21,7,29-06-2023,ProductPage,View,287
1553,61,14,04-12-2024,Homepage,View,25
1554,57,8,04-11-2024,ProductPage,View,13
1555,74,15,10-10-2023,Homepage,View,131
1556,82,17,25-06-2023,Homepage,View,132
1557,33,13,16-01-2025,ProductPage,View,53
1558,93,16,28-04-2023,ProductPage,View,258
1559,16,10,19-07-2025,ProductPage,View,195
1560,40,3,17-07-2023,ProductPage,View,247
1561,11,11,01-11-2024,Checkout,Drop-off,NULL
1562,25,5,09-08-2025,ProductPage,View,90
1563,69,16,20-09-2025,ProductPage,View,258
1564,88,8,06-09-2024,Homepage,Click,285
1565,64,20,18-02-2024,ProductPage,Click,226
1566,21,7,29-01-2024,ProductPage,Click,234
1567,34,18,31-08-2024,Homepage,View,265
1568,43,14,28-06-2025,ProductPage,View,175
1569,4,18,11-11-2025,Homepage,View,277
1570,12,17,16-08-2025,ProductPage,View,247
1571,79,2,15-06-2023,Homepage,View,75
1572,29,9,23-11-2024,Checkout,Drop-off,NULL
1573,49,12,06-03-2025,Homepage,Click,252
1574,38,15,30-09-2023,ProductPage,Click,51
1575,24,6,19-11-2025,ProductPage,Click,243
1576,76,7,05-12-2024,Checkout,Purchase,23
1577,48,19,10-03-2024,ProductPage,View,22
1578,41,7,03-08-2024,Homepage,Click,162
1579,70,11,30-11-2025,ProductPage,Click,230
1580,30,2,26-09-2024,Checkout,Purchase,268
1581,22,18,09-06-2024,Homepage,Click,217
1582,58,2,09-08-2023,Homepage,View,272
1583,66,5,07-10-2023,Homepage,Click,192
1584,22,17,13-04-2024,ProductPage,Click,67
1585,66,18,23-11-2025,Homepage,Click,59
1586,75,17,16-11-2025,Homepage,Click,58
1587,55,16,04-04-2024,Homepage,View,177
1588,82,20,11-07-2023,ProductPage,View,143
1589,2,15,04-08-2023,ProductPage,View,38
1590,55,11,02-09-2024,Checkout,Drop-off,NULL
1591,46,10,09-11-2025,Homepage,View,15
1592,80,17,08-06-2023,ProductPage,View,148
1593,8,20,09-02-2023,Homepage,View,252
1594,53,2,05-02-2023,Homepage,View,224
1595,46,4,10-10-2023,Checkout,Drop-off,NULL
1596,28,19,08-10-2025,Homepage,Click,162
1597,39,8,12-11-2024,ProductPage,Click,24
1598,43,2,14-04-2023,Homepage,View,95
1599,66,4,21-11-2024,Homepage,Click,166
1600,26,3,02-01-2023,Homepage,Click,139
1601,42,12,05-10-2023,Checkout,Purchase,237
1602,15,5,21-01-2025,Checkout,Drop-off,NULL
1603,11,17,18-02-2025,ProductPage,View,14
1604,45,6,28-05-2024,Homepage,View,248
1605,68,10,27-05-2025,ProductPage,View,15
1606,14,6,19-06-2024,Homepage,Click,164
1607,45,2,19-06-2024,ProductPage,Click,296
1608,70,18,08-02-2025,ProductPage,Click,233
1609,33,1,10-08-2025,Homepage,Click,21
1610,34,7,23-10-2024,ProductPage,Click,90
1611,40,9,07-01-2025,ProductPage,Click,90
1612,50,9,24-11-2023,homepage,Click,218
1613,78,7,18-03-2023,ProductPage,Click,17
1614,94,10,12-05-2023,ProductPage,Click,160
1615,88,6,28-04-2023,Checkout,Purchase,244
1616,36,20,22-10-2025,ProductPage,View,159
1617,89,20,05-08-2025,Homepage,View,201
1618,87,5,02-11-2023,ProductPage,View,137
1619,5,3,15-02-2025,Checkout,Drop-off,NULL
1620,36,9,25-09-2025,Homepage,View,230
1621,98,15,13-07-2025,Checkout,Drop-off,NULL
1622,71,16,02-08-2025,Checkout,Drop-off,NULL
1623,72,1,15-11-2024,Homepage,View,120
1624,75,20,12-11-2025,Checkout,Drop-off,NULL
1625,100,14,22-02-2025,ProductPage,View,40
1626,49,16,22-02-2024,ProductPage,View,124
1627,81,10,27-10-2025,ProductPage,View,223
1628,85,2,05-01-2024,Checkout,Drop-off,NULL
1629,60,7,15-10-2025,checkout,Drop-off,NULL
1630,95,6,06-02-2024,Checkout,Drop-off,NULL
1631,61,15,06-06-2025,ProductPage,View,19
1632,69,11,05-07-2025,ProductPage,View,45
1633,34,4,23-12-2023,Homepage,Click,14
1634,27,4,28-06-2023,ProductPage,Click,25
1635,39,20,24-08-2023,Homepage,View,85
1636,100,15,16-05-2023,Homepage,View,151
1637,34,7,20-07-2023,Homepage,View,276
1638,75,20,11-04-2024,Checkout,Drop-off,NULL
1639,6,4,21-04-2023,ProductPage,View,167
1640,76,1,01-11-2023,ProductPage,View,194
1641,15,9,17-08-2024,ProductPage,View,237
1642,70,10,13-04-2023,Homepage,View,276
1643,30,4,25-04-2024,Checkout,Drop-off,NULL
1644,22,1,11-10-2024,ProductPage,View,97
1645,96,8,16-10-2025,Homepage,View,189
1646,27,5,01-08-2023,Homepage,View,23
1647,75,13,13-03-2024,Checkout,Drop-off,NULL
1648,4,13,03-01-2025,Checkout,Drop-off,NULL
1649,1,10,21-06-2023,Checkout,Drop-off,NULL
1650,77,7,18-04-2023,Homepage,Click,111
1651,82,1,05-01-2023,Homepage,Click,95
1652,94,20,18-05-2024,Homepage,View,47
1653,13,4,08-10-2025,Checkout,Drop-off,NULL
1654,40,5,22-02-2024,Homepage,Click,57
1655,56,8,23-04-2023,Homepage,View,51
1656,49,5,03-12-2025,ProductPage,View,161
1657,90,6,09-08-2025,Homepage,View,236
1658,58,12,19-02-2023,Homepage,Click,95
1659,83,10,10-06-2024,Homepage,Click,101
1660,87,14,14-10-2025,Homepage,View,174
1661,63,11,23-07-2023,ProductPage,View,186
1662,24,5,23-03-2023,Homepage,View,253
1663,93,11,07-11-2025,Checkout,Drop-off,NULL
1664,62,16,09-04-2024,ProductPage,View,71
1665,6,15,24-08-2023,homepage,View,281
1666,17,7,16-07-2023,Homepage,View,164
1667,27,8,18-04-2025,ProductPage,View,199
1668,6,16,22-11-2023,ProductPage,View,220
1669,9,15,18-02-2024,Homepage,Click,13
1670,66,7,12-01-2023,Homepage,Click,42
1671,35,5,01-04-2023,ProductPage,Click,112
1672,18,7,21-08-2024,ProductPage,Click,110
1673,2,12,23-08-2025,ProductPage,Click,275
1674,47,16,03-10-2023,Checkout,Purchase,248
1675,72,19,03-10-2024,Homepage,View,64
1676,93,18,18-05-2024,Homepage,View,102
1677,77,3,28-06-2025,ProductPage,View,48
1678,92,4,02-01-2023,Homepage,View,277
1679,74,1,04-07-2023,ProductPage,View,288
1680,50,17,02-08-2025,ProductPage,View,69
1681,56,12,15-01-2025,Homepage,View,257
1682,58,8,04-01-2023,Checkout,Drop-off,NULL
1683,76,4,04-10-2024,Homepage,Click,195
1684,76,10,22-09-2024,ProductPage,Click,258
1685,33,1,15-12-2024,ProductPage,Click,230
1686,70,5,14-01-2023,checkout,Purchase,33
1687,47,10,24-07-2025,ProductPage,View,116
1688,39,20,25-05-2025,ProductPage,View,293
1689,90,14,24-10-2023,ProductPage,View,188
1690,3,10,15-02-2023,ProductPage,View,85
1691,72,8,06-11-2025,Checkout,Drop-off,NULL
1692,45,12,31-12-2024,Homepage,Click,23
1693,66,8,03-09-2023,Homepage,View,219
1694,89,17,23-03-2023,ProductPage,View,216
1695,29,5,09-06-2024,ProductPage,View,247
1696,61,11,25-07-2025,homepage,View,226
1697,89,13,11-06-2025,ProductPage,View,114
1698,14,18,02-05-2025,Checkout,Drop-off,NULL
1699,13,19,06-04-2024,ProductPage,View,61
1700,82,16,17-03-2023,ProductPage,View,11
1701,9,5,25-04-2024,ProductPage,View,95
1702,68,19,30-07-2023,Homepage,View,68
1703,25,17,29-07-2024,Homepage,View,87
1704,85,1,23-02-2023,ProductPage,View,220
1705,54,15,14-12-2025,Homepage,View,97
1706,22,13,05-04-2023,Homepage,View,278
1707,70,1,19-12-2023,Homepage,View,137
1708,47,17,13-06-2024,Homepage,Click,76
1709,72,19,10-02-2025,Checkout,Purchase,207
1710,65,4,27-08-2024,ProductPage,View,240
1711,100,13,28-05-2024,Homepage,View,22
1712,37,2,02-07-2024,Homepage,Click,107
1713,21,13,17-04-2024,Homepage,Click,202
1714,43,1,20-06-2024,Homepage,View,56
1715,62,5,27-02-2025,Homepage,View,25
1716,95,15,18-09-2023,Homepage,View,283
1717,63,12,25-04-2025,ProductPage,View,110
1718,76,20,25-11-2024,ProductPage,View,207
1719,54,10,26-12-2024,Homepage,Click,191
1720,72,9,09-11-2023,Homepage,Click,115
1721,98,13,07-04-2023,Homepage,View,112
1722,84,5,11-10-2023,checkout,Drop-off,NULL
1723,95,8,20-07-2025,ProductPage,View,152
1724,51,5,29-03-2025,ProductPage,View,224
1725,38,20,05-11-2025,ProductPage,View,85
1726,43,14,17-02-2023,Homepage,View,166
1727,23,1,30-01-2023,Checkout,Drop-off,NULL
1728,94,12,19-12-2025,ProductPage,View,179
1729,54,20,01-09-2025,Homepage,View,54
1730,21,15,29-09-2025,Homepage,View,152
1731,37,5,11-04-2025,Homepage,Click,201
1732,89,12,27-02-2025,Homepage,View,144
1733,99,1,22-08-2024,ProductPage,View,260
1734,49,18,21-03-2024,ProductPage,View,26
1735,66,14,23-10-2024,Checkout,Drop-off,NULL
1736,41,2,13-01-2023,Homepage,Click,237
1737,64,7,16-03-2025,ProductPage,Click,284
1738,44,10,08-03-2023,ProductPage,Click,244
1739,36,20,24-06-2025,homepage,View,146
1740,9,13,31-05-2023,Checkout,Drop-off,NULL
1741,44,14,04-08-2025,Homepage,Click,111
1742,55,11,23-01-2025,ProductPage,Click,85
